Datum,Vodostaj_Bileca,Dotok_Prethodni_Dan,Padavine_Trebinje,Temperatura_Vazduha,Doba_Godine,Pritisak_Mreze,Angazovani_Agregati,Preliv_Status,Padavine_Sutra,Padavine_Za2Dana,Promjena_Vodostaja
11.04.2000.,377.55,450.0,108.31,13.4,Proljece,Srednje,2,0,0.0,0.0,0.24
12.04.2000.,377.75,343.06,0.0,12.1,Proljece,Nisko,2,0,0.0,0.0,0.2
13.04.2000.,377.9,289.73,0.0,19.7,Proljece,Nisko,1,0,0.0,0.0,0.15
14.04.2000.,378.05,254.88,0.0,18.7,Proljece,Srednje,2,0,0.0,0.0,0.15
15.04.2000.,378.14,212.3,0.0,14.4,Proljece,Srednje,2,0,0.0,23.05,0.09
16.04.2000.,378.15,164.39,0.0,8.9,Proljece,Nisko,2,0,23.05,0.0,0.01
17.04.2000.,378.19,252.6,23.05,9.1,Proljece,Visoko,3,0,0.0,0.0,0.04
18.04.2000.,378.26,208.09,0.0,14.1,Proljece,Srednje,2,0,0.0,9.04,0.07
19.04.2000.,378.29,182.1,0.0,15.3,Proljece,Srednje,2,0,9.04,0.0,0.03
20.04.2000.,378.35,200.02,9.04,12.5,Proljece,Srednje,2,0,0.0,0.0,0.06
21.04.2000.,378.37,166.24,0.0,12.1,Proljece,Visoko,2,0,0.0,9.15,0.02
22.04.2000.,378.44,142.54,0.0,11.6,Proljece,Nisko,1,0,9.15,47.32,0.07
23.04.2000.,378.52,178.83,9.15,13.9,Proljece,Srednje,2,0,47.32,0.0,0.08
24.04.2000.,378.75,395.19,47.32,4.5,Proljece,Srednje,2,0,0.0,15.13,0.23
25.04.2000.,378.9,297.73,0.0,9.6,Proljece,Nisko,2,0,15.13,33.13,0.15
26.04.2000.,379.08,314.53,15.13,11.5,Proljece,Nisko,2,0,33.13,0.0,0.18
27.04.2000.,379.37,450.0,33.13,18.8,Proljece,Nisko,2,0,0.0,0.0,0.29
28.04.2000.,379.58,338.1,0.0,10.7,Proljece,Srednje,2,0,0.0,12.76,0.21
29.04.2000.,379.71,273.71,0.0,14.7,Proljece,Nisko,2,0,12.76,0.0,0.13
30.04.2000.,379.79,293.82,12.76,14.9,Proljece,Visoko,3,0,0.0,0.0,0.08
01.05.2000.,379.82,256.74,0.0,19.2,Proljece,Visoko,3,0,0.0,37.35,0.03
02.05.2000.,379.93,224.92,0.0,19.1,Proljece,Nisko,2,0,37.35,0.0,0.11
03.05.2000.,380.17,387.27,37.35,13.8,Proljece,Srednje,2,0,0.0,0.0,0.24
04.05.2000.,380.32,298.01,0.0,12.1,Proljece,Nisko,2,0,0.0,0.0,0.15
05.05.2000.,380.38,230.69,0.0,11.3,Proljece,Nisko,2,0,0.0,6.32,0.06
06.05.2000.,380.43,188.69,0.0,13.0,Proljece,Nisko,2,0,6.32,16.14,0.05
07.05.2000.,380.5,194.29,6.32,12.3,Proljece,Nisko,2,0,16.14,4.88,0.07
08.05.2000.,380.61,259.57,16.14,16.2,Proljece,Visoko,3,0,4.88,0.0,0.11
09.05.2000.,380.7,243.11,4.88,15.7,Proljece,Srednje,2,0,0.0,0.0,0.09
10.05.2000.,380.78,206.65,0.0,16.4,Proljece,Srednje,2,0,0.0,69.25,0.08
11.05.2000.,380.91,195.8,0.0,19.0,Proljece,Nisko,1,0,69.25,0.0,0.13
12.05.2000.,381.1,450.0,69.25,21.5,Proljece,Nisko,3,0,0.0,56.08,0.19
13.05.2000.,381.24,350.94,0.0,14.5,Proljece,Visoko,3,0,56.08,24.89,0.14
14.05.2000.,381.5,450.0,56.08,18.4,Proljece,Nisko,2,0,24.89,0.0,0.26
15.05.2000.,381.74,450.0,24.89,12.6,Proljece,Visoko,3,0,0.0,0.0,0.24
16.05.2000.,381.92,363.83,0.0,18.7,Proljece,Nisko,2,0,0.0,76.12,0.18
17.05.2000.,382.08,302.26,0.0,18.2,Proljece,Srednje,2,0,76.12,13.66,0.16
18.05.2000.,382.33,450.0,76.12,18.0,Proljece,Visoko,3,0,13.66,0.0,0.25
19.05.2000.,382.57,426.13,13.66,14.4,Proljece,Nisko,2,0,0.0,75.05,0.24
20.05.2000.,382.77,324.35,0.0,11.3,Proljece,Nisko,2,0,75.05,49.95,0.2
21.05.2000.,383.02,450.0,75.05,8.4,Proljece,Srednje,3,0,49.95,2.9,0.25
22.05.2000.,383.33,450.0,49.95,13.8,Proljece,Nisko,2,0,2.9,0.0,0.31
23.05.2000.,383.57,389.21,2.9,20.1,Proljece,Srednje,2,0,0.0,30.77,0.24
24.05.2000.,383.74,301.32,0.0,12.8,Proljece,Nisko,2,1,30.77,0.0,0.17
25.05.2000.,384.01,420.27,30.77,17.1,Proljece,Nisko,2,0,0.0,0.0,0.27
26.05.2000.,384.23,338.15,0.0,17.4,Proljece,Nisko,2,0,0.0,0.17,0.22
27.05.2000.,384.27,264.76,0.0,12.9,Proljece,Visoko,3,0,0.17,0.0,0.04
28.05.2000.,384.38,232.36,0.17,19.3,Proljece,Nisko,2,0,0.0,0.0,0.11
29.05.2000.,384.4,167.67,0.0,2.4,Proljece,Nisko,2,0,0.0,34.83,0.02
30.05.2000.,384.4,131.87,0.0,9.1,Proljece,Srednje,2,0,34.83,0.0,0.0
31.05.2000.,384.52,298.01,34.83,10.3,Proljece,Srednje,3,0,0.0,1.19,0.12
01.06.2000.,384.59,216.83,0.0,28.7,Ljeto,Srednje,2,0,1.19,0.0,0.07
02.06.2000.,384.6,162.5,1.19,33.3,Ljeto,Nisko,2,0,0.0,4.61,0.01
03.06.2000.,384.63,118.64,0.0,33.2,Ljeto,Srednje,2,0,4.61,4.72,0.03
04.06.2000.,384.61,90.27,4.61,33.6,Ljeto,Srednje,2,0,4.72,0.43,-0.02
05.06.2000.,384.62,75.75,4.72,34.4,Ljeto,Srednje,1,0,0.43,0.0,0.01
06.06.2000.,384.61,56.1,0.43,28.2,Ljeto,Nisko,1,0,0.0,0.0,-0.01
07.06.2000.,384.55,42.97,0.0,27.1,Ljeto,Srednje,1,0,0.0,0.0,-0.06
08.06.2000.,384.43,37.14,0.0,33.6,Ljeto,Visoko,2,0,0.0,2.2,-0.12
09.06.2000.,384.37,27.18,0.0,29.5,Ljeto,Srednje,1,0,2.2,4.39,-0.06
10.06.2000.,384.33,25.03,2.2,25.7,Ljeto,Nisko,1,0,4.39,3.07,-0.04
11.06.2000.,384.27,21.7,4.39,35.9,Ljeto,Nisko,1,0,3.07,2.98,-0.06
12.06.2000.,384.26,19.17,3.07,37.6,Ljeto,Srednje,1,0,2.98,0.0,-0.01
13.06.2000.,384.14,16.46,2.98,38.2,Ljeto,Visoko,2,0,0.0,1.45,-0.12
14.06.2000.,384.11,13.62,0.0,32.7,Ljeto,Nisko,1,0,1.45,0.0,-0.03
15.06.2000.,384.04,11.06,1.45,34.5,Ljeto,Srednje,1,0,0.0,0.86,-0.07
16.06.2000.,384.02,8.13,0.0,37.5,Ljeto,Nisko,1,0,0.86,13.54,-0.02
17.06.2000.,383.98,7.11,0.86,29.4,Ljeto,Nisko,0,0,13.54,2.03,-0.04
18.06.2000.,383.99,17.01,13.54,36.4,Ljeto,Nisko,0,0,2.03,0.0,0.01
19.06.2000.,383.89,16.92,2.03,33.1,Ljeto,Visoko,2,0,0.0,2.46,-0.1
20.06.2000.,383.93,12.95,0.0,35.7,Ljeto,Nisko,0,0,2.46,14.58,0.04
21.06.2000.,383.9,11.15,2.46,32.7,Ljeto,Visoko,1,0,14.58,1.53,-0.03
22.06.2000.,383.82,20.85,14.58,37.2,Ljeto,Srednje,1,0,1.53,0.0,-0.08
23.06.2000.,383.73,16.21,1.53,32.9,Ljeto,Visoko,2,0,0.0,1.68,-0.09
24.06.2000.,383.65,12.02,0.0,26.1,Ljeto,Srednje,1,0,1.68,0.0,-0.08
25.06.2000.,383.56,10.47,1.68,37.8,Ljeto,Nisko,1,0,0.0,12.11,-0.09
26.06.2000.,383.5,8.13,0.0,28.2,Ljeto,Visoko,1,0,12.11,3.71,-0.06
27.06.2000.,383.46,18.33,12.11,37.0,Ljeto,Nisko,1,0,3.71,0.0,-0.04
28.06.2000.,383.39,16.66,3.71,31.6,Ljeto,Srednje,1,0,0.0,20.29,-0.07
29.06.2000.,383.3,12.03,0.0,36.7,Ljeto,Visoko,2,0,20.29,0.0,-0.09
30.06.2000.,383.26,25.17,20.29,36.5,Ljeto,Nisko,1,0,0.0,0.0,-0.04
01.07.2000.,383.23,18.39,0.0,33.7,Ljeto,Srednje,1,0,0.0,5.94,-0.03
02.07.2000.,383.21,17.08,0.0,34.0,Ljeto,Visoko,1,0,5.94,5.33,-0.02
03.07.2000.,383.13,20.85,5.94,33.7,Ljeto,Visoko,2,0,5.33,0.0,-0.08
04.07.2000.,383.08,19.81,5.33,23.9,Ljeto,Srednje,1,0,0.0,0.0,-0.05
05.07.2000.,383.03,16.16,0.0,32.5,Ljeto,Srednje,1,0,0.0,7.31,-0.05
06.07.2000.,382.99,13.11,0.0,27.5,Ljeto,Srednje,1,0,7.31,10.76,-0.04
07.07.2000.,382.97,16.67,7.31,32.7,Ljeto,Srednje,1,0,10.76,0.0,-0.02
08.07.2000.,382.96,20.58,10.76,27.4,Ljeto,Srednje,1,0,0.0,0.0,-0.01
09.07.2000.,382.91,16.48,0.0,27.3,Ljeto,Visoko,1,0,0.0,4.62,-0.05
10.07.2000.,382.92,19.03,0.0,38.4,Ljeto,Nisko,0,0,4.62,6.99,0.01
11.07.2000.,382.87,27.39,4.62,36.3,Ljeto,Nisko,1,0,6.99,1.81,-0.05
12.07.2000.,382.84,29.17,6.99,32.0,Ljeto,Srednje,1,0,1.81,0.0,-0.03
13.07.2000.,382.78,22.68,1.81,32.7,Ljeto,Visoko,1,0,0.0,0.0,-0.06
14.07.2000.,382.73,23.87,0.0,31.0,Ljeto,Srednje,1,0,0.0,0.16,-0.05
15.07.2000.,382.62,17.24,0.0,34.3,Ljeto,Visoko,2,0,0.16,0.0,-0.11
16.07.2000.,382.53,12.81,0.16,29.3,Ljeto,Visoko,2,0,0.0,0.0,-0.09
17.07.2000.,382.47,9.9,0.0,36.0,Ljeto,Visoko,1,0,0.0,0.0,-0.06
18.07.2000.,382.4,7.75,0.0,31.0,Ljeto,Visoko,1,0,0.0,0.14,-0.07
19.07.2000.,382.35,7.4,0.0,30.3,Ljeto,Visoko,1,0,0.14,0.0,-0.05
20.07.2000.,382.26,5.59,0.14,32.1,Ljeto,Visoko,2,0,0.0,1.96,-0.09
21.07.2000.,382.22,6.58,0.0,29.6,Ljeto,Srednje,0,0,1.96,0.0,-0.04
22.07.2000.,382.25,6.51,1.96,33.3,Ljeto,Nisko,0,0,0.0,0.0,0.03
23.07.2000.,382.19,14.08,0.0,29.9,Ljeto,Nisko,1,0,0.0,1.07,-0.06
24.07.2000.,382.19,11.79,0.0,33.9,Ljeto,Nisko,0,0,1.07,0.39,0.0
25.07.2000.,382.17,10.08,1.07,36.9,Ljeto,Nisko,0,0,0.39,0.0,-0.02
26.07.2000.,382.17,11.45,0.39,29.1,Ljeto,Nisko,0,0,0.0,0.0,0.0
27.07.2000.,382.03,8.59,0.0,31.5,Ljeto,Visoko,2,0,0.0,0.0,-0.14
28.07.2000.,382.04,9.66,0.0,33.8,Ljeto,Srednje,0,0,0.0,5.7,0.01
29.07.2000.,382.0,8.55,0.0,30.3,Ljeto,Nisko,1,0,5.7,3.2,-0.04
30.07.2000.,381.93,10.89,5.7,33.9,Ljeto,Srednje,1,0,3.2,0.0,-0.07
31.07.2000.,381.89,12.31,3.2,34.2,Ljeto,Srednje,1,0,0.0,1.39,-0.04
01.08.2000.,381.9,10.16,0.0,36.3,Ljeto,Nisko,0,0,1.39,0.0,0.01
02.08.2000.,381.8,9.46,1.39,29.6,Ljeto,Visoko,2,0,0.0,0.0,-0.1
03.08.2000.,381.79,6.96,0.0,28.2,Ljeto,Srednje,0,0,0.0,0.0,-0.01
04.08.2000.,381.77,5.13,0.0,30.8,Ljeto,Srednje,0,0,0.0,7.95,-0.02
05.08.2000.,381.77,5.42,0.0,28.1,Ljeto,Nisko,0,0,7.95,2.31,0.0
06.08.2000.,381.73,11.52,7.95,34.3,Ljeto,Srednje,1,0,2.31,0.0,-0.04
07.08.2000.,381.63,11.02,2.31,27.4,Ljeto,Visoko,2,0,0.0,0.0,-0.1
08.08.2000.,381.61,11.23,0.0,41.3,Ljeto,Nisko,0,0,0.0,0.0,-0.02
09.08.2000.,381.57,10.24,0.0,37.2,Ljeto,Visoko,1,0,0.0,0.0,-0.04
10.08.2000.,381.59,9.79,0.0,32.1,Ljeto,Nisko,0,0,0.0,4.75,0.02
11.08.2000.,381.55,8.25,0.0,35.5,Ljeto,Srednje,1,0,4.75,0.0,-0.04
12.08.2000.,381.48,11.31,4.75,25.5,Ljeto,Visoko,1,0,0.0,5.89,-0.07
13.08.2000.,381.43,12.18,0.0,42.0,Ljeto,Visoko,1,0,5.89,4.16,-0.05
14.08.2000.,381.46,16.74,5.89,29.6,Ljeto,Nisko,0,0,4.16,0.0,0.03
15.08.2000.,381.48,15.83,4.16,31.5,Ljeto,Nisko,0,0,0.0,0.0,0.02
16.08.2000.,381.46,11.56,0.0,24.6,Ljeto,Srednje,1,0,0.0,0.0,-0.02
17.08.2000.,381.44,9.21,0.0,33.9,Ljeto,Nisko,0,0,0.0,0.06,-0.02
18.08.2000.,381.37,8.05,0.0,27.6,Ljeto,Srednje,1,0,0.06,0.0,-0.07
19.08.2000.,381.32,9.65,0.06,32.4,Ljeto,Srednje,1,0,0.0,0.0,-0.05
20.08.2000.,381.29,9.65,0.0,29.8,Ljeto,Srednje,0,0,0.0,0.0,-0.03
21.08.2000.,381.3,8.17,0.0,27.7,Ljeto,Nisko,0,0,0.0,5.35,0.01
22.08.2000.,381.25,8.63,0.0,28.8,Ljeto,Srednje,1,0,5.35,0.0,-0.05
23.08.2000.,381.22,13.33,5.35,32.9,Ljeto,Visoko,1,0,0.0,0.0,-0.03
24.08.2000.,381.21,10.96,0.0,26.9,Ljeto,Srednje,0,0,0.0,0.0,-0.01
25.08.2000.,381.14,8.55,0.0,29.0,Ljeto,Srednje,1,0,0.0,0.0,-0.07
26.08.2000.,381.14,14.81,0.0,34.7,Ljeto,Nisko,0,0,0.0,0.0,0.0
27.08.2000.,381.15,13.4,0.0,42.0,Ljeto,Nisko,0,0,0.0,0.0,0.01
28.08.2000.,381.14,10.83,0.0,33.9,Ljeto,Srednje,0,0,0.0,0.0,-0.01
29.08.2000.,381.06,9.37,0.0,28.3,Ljeto,Srednje,1,0,0.0,4.44,-0.08
30.08.2000.,381.04,7.51,0.0,30.5,Ljeto,Srednje,0,0,4.44,0.0,-0.02
31.08.2000.,381.0,10.38,4.44,32.1,Ljeto,Srednje,1,0,0.0,0.0,-0.04
01.09.2000.,380.93,22.47,0.0,10.6,Jesen,Srednje,1,0,0.0,10.77,-0.07
02.09.2000.,380.93,16.31,0.0,15.6,Jesen,Srednje,0,0,10.77,16.55,0.0
03.09.2000.,380.91,39.75,10.77,12.9,Jesen,Nisko,1,0,16.55,0.0,-0.02
04.09.2000.,380.88,71.16,16.55,15.6,Jesen,Visoko,2,0,0.0,0.0,-0.03
05.09.2000.,380.87,52.18,0.0,10.7,Jesen,Srednje,1,0,0.0,0.41,-0.01
06.09.2000.,380.86,39.52,0.0,17.3,Jesen,Nisko,1,0,0.41,43.39,-0.01
07.09.2000.,380.84,31.41,0.41,11.3,Jesen,Nisko,1,0,43.39,7.57,-0.02
08.09.2000.,380.87,132.42,43.39,8.1,Jesen,Srednje,2,0,7.57,9.44,0.03
09.09.2000.,380.93,116.12,7.57,20.7,Jesen,Nisko,1,0,9.44,0.0,0.06
10.09.2000.,380.93,108.19,9.44,4.7,Jesen,Nisko,1,0,0.0,7.51,0.0
11.09.2000.,380.94,78.66,0.0,9.0,Jesen,Nisko,1,0,7.51,36.31,0.01
12.09.2000.,380.97,77.48,7.51,9.5,Jesen,Nisko,1,0,36.31,0.0,0.03
13.09.2000.,381.0,151.54,36.31,22.0,Jesen,Visoko,2,0,0.0,0.0,0.03
14.09.2000.,381.03,110.81,0.0,19.2,Jesen,Srednje,1,0,0.0,0.0,0.03
15.09.2000.,381.03,80.89,0.0,18.0,Jesen,Srednje,1,0,0.0,0.0,0.0
16.09.2000.,380.98,59.86,0.0,10.7,Jesen,Visoko,2,0,0.0,0.0,-0.05
17.09.2000.,380.98,46.14,0.0,21.7,Jesen,Srednje,1,0,0.0,1.14,0.0
18.09.2000.,380.93,33.63,0.0,13.5,Jesen,Srednje,1,0,1.14,0.0,-0.05
19.09.2000.,380.9,27.45,1.14,15.9,Jesen,Srednje,1,0,0.0,0.36,-0.03
20.09.2000.,380.89,23.02,0.0,12.7,Jesen,Srednje,1,0,0.36,5.1,-0.01
21.09.2000.,380.81,19.77,0.36,11.8,Jesen,Nisko,1,0,5.1,0.0,-0.08
22.09.2000.,380.78,31.84,5.1,11.0,Jesen,Srednje,1,0,0.0,15.27,-0.03
23.09.2000.,380.75,35.63,0.0,11.2,Jesen,Nisko,1,0,15.27,20.46,-0.03
24.09.2000.,380.77,65.75,15.27,14.4,Jesen,Nisko,1,0,20.46,5.1,0.02
25.09.2000.,380.8,102.12,20.46,13.5,Jesen,Nisko,1,0,5.1,0.0,0.03
26.09.2000.,380.75,92.23,5.1,11.9,Jesen,Srednje,2,0,0.0,25.32,-0.05
27.09.2000.,380.69,69.85,0.0,18.0,Jesen,Visoko,2,0,25.32,8.19,-0.06
28.09.2000.,380.71,115.02,25.32,0.1,Jesen,Srednje,2,0,8.19,0.0,0.02
